text,label
আজকে আমার মন ভালো নেই,প্রমিত
তুমি কি করো ?,প্রমিত
এই গরমে আমার কিছু ভালো লাগে না,প্রমিত
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,প্রমিত
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,প্রমিত
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,প্রমিত
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,প্রমিত
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,প্রমিত
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,প্রমিত
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,প্রমিত
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,প্রমিত
আম্মু ঐদিন ঠিক কথাই বলেছিলও,প্রমিত
আম্মু সব সময় আমার মনের কথা বুঝে,প্রমিত
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,প্রমিত
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,প্রমিত
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,প্রমিত
তোমাকে আমি কল দিবো না,প্রমিত
এই জিনিষটা খুবই বিরক্তিকর ছিল,প্রমিত
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,প্রমিত
সে এখন রাজশাহী চলে গেছে,প্রমিত
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,প্রমিত
সে একদমই হাসে না,প্রমিত
সে আমাকে অপমান করে,প্রমিত
তাঁর বই পরতে একদমই ভাল লাগে না,প্রমিত
আপনার কি বই পড়ার অভ্যাস আছে ?,প্রমিত
তুমি কি আমাকে চিনো ?,প্রমিত
আমি তোমাকে চিনতে  পারলাম  না,প্রমিত
আমি তোমাকে আগে কখনো দেখি নাই,প্রমিত
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,প্রমিত
আপনার পড়ালেখা করা উচিত,প্রমিত
আপনাকে পড়ালেখা  করতে হবে,প্রমিত
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,প্রমিত
তোর পড়ালেখা কোরতে হবে,প্রমিত
তুই কি আর পড়ালেখা করবি নাহ ?,প্রমিত
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,প্রমিত
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,প্রমিত
তুমি কি এখন খেতে বসবা  ?,প্রমিত
আজকে আমার খেতে ভালো লাগছে না,প্রমিত
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,প্রমিত
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,প্রমিত
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,প্রমিত
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,প্রমিত
সে বিদ্যালয়ে যেতে চায় না,প্রমিত
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,প্রমিত
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,প্রমিত
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,প্রমিত
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,প্রমিত
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,প্রমিত
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,প্রমিত
তোমাদের বাসা কোথায়?,প্রমিত
ঢাকা বাংলাদেশের রাজধানী,প্রমিত
তুমি কি আমার সাথে প্রেম করবা?,প্রমিত
আমি আজকে সকালে ফুটবল খেলেছি,প্রমিত
আমি তোমার মনের কথা বুঝি না,প্রমিত
তোমার জন্য আমার খুব কষ্ট হয়,প্রমিত
আমাদের স্বপ্ন অনেক বড়,প্রমিত
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,প্রমিত
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,প্রমিত
একটি ছেলে বিছানায় লাফাচ্ছে,প্রমিত
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,প্রমিত
একটি ছোট শিশু ফুটপাতে হাঁটছে,প্রমিত
আমি একজন ছেলে,প্রমিত
আমি একজন মেয়ে,প্রমিত
আমার স্বামী আমাকে খুব ভালোবাসে,প্রমিত
স্কুল জীবন থেকে তাদের প্রেম ছিলো,প্রমিত
আমি বিবাহ করেছি দশ বছর হয়,প্রমিত
অসম্ভব ভাল ছবি,প্রমিত
বহুদিন পরে একটা ভাল ছবি দেখলাম,প্রমিত
অসম্ভব ভালো লিখেছেন,প্রমিত
বহুদিন পরে একটা ভালো লেখা পড়লাম,প্রমিত
প্রচণ্ড মাথা ব্যথা করছিলো,প্রমিত
কিছুই বুঝতে পারলাম না,প্রমিত
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,প্রমিত
এক কথায় অনেক সুন্দর লাগছে আপনাকে,প্রমিত
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,প্রমিত
আপনার হাশির কাছে সব কিছু হার মেনে যায়,প্রমিত
আপনার চোখ অনেক সুন্দর,প্রমিত
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,প্রমিত
অনেক সময় পর আপনাকে দেখছি,প্রমিত
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,প্রমিত
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,প্রমিত
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,প্রমিত
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি",প্রমিত
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,প্রমিত
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,প্রমিত
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,প্রমিত
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,প্রমিত
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,প্রমিত
প্রথমে আপনাকে একটি দোকানে যেতে হবে,প্রমিত
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,প্রমিত
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,প্রমিত
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,প্রমিত
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,প্রমিত
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,প্রমিত
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,প্রমিত
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো",প্রমিত
সারা জীবন তোমায় আমি ভালবেসে যাবো,প্রমিত
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না",প্রমিত
তোমায় ছাড়া একটুও আমার ভালো লাগে না,প্রমিত
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ",প্রমিত
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,প্রমিত
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,প্রমিত
অনেক দিন পর তোমাকে দেখলাম,প্রমিত
তোমাকে দেখে থমকে দারিয়ে ছিলাম,প্রমিত
আমি খুব কষ্টে নিজেকে সামলে নিলাম,প্রমিত
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,প্রমিত
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,প্রমিত
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,প্রমিত
আমার জীবনে কেউ নেই তুমি ছাড়া,প্রমিত
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,প্রমিত
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,প্রমিত
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা,প্রমিত
তুমি শুধু মনে রেখো আমায় সারা বেলা,প্রমিত
চোখের কান্না মুছে  দেব তোমায় হাসি,প্রমিত
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,প্রমিত
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি",প্রমিত
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,প্রমিত
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,প্রমিত
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,প্রমিত
কারো জন্য কারো জীবন থেমে থাকে না,প্রমিত
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,প্রমিত
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে",প্রমিত
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,প্রমিত
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,প্রমিত
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,প্রমিত
আমার অনেক ঠাণ্ডা লাগছে,প্রমিত
আমার মন খারাপ,প্রমিত
আপনার কি মন খারাপ ?,প্রমিত
তোমার  কি মন খারাপ ?,প্রমিত
আব্বু আমার জন্য লাল জামা কিনে এনেছে,প্রমিত
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,প্রমিত
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,প্রমিত
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,প্রমিত
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর",প্রমিত
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,প্রমিত
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও",প্রমিত
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল",প্রমিত
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না",প্রমিত
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে",প্রমিত
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,প্রমিত
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,প্রমিত
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,প্রমিত
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,প্রমিত
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,প্রমিত
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,প্রমিত
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না",প্রমিত
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,প্রমিত
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,প্রমিত
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,প্রমিত
ভালো লাগে তোমার ওই কাজল কালো চোখ,প্রমিত
তোমার মনের কথা আজ আমাকে খুলে বলো,প্রমিত
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না",প্রমিত
গোলাপ ফুল দিবো আমি তোমার হাতে,প্রমিত
এই মন আজ তোমায় দিলাম,প্রমিত
তোমার ওই মন আমি নিয়ে নিলাম,প্রমিত
হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে,প্রমিত
সব কথা মুখে বলে দেওয়া যায়না,প্রমিত
হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়,প্রমিত
যতদিন বেঁছে থাকি তোমায় মনে রাখবো,প্রমিত
"যত কষ্ট হোক সব মেনে নেবো,তবুও চিরদিন তোমাকেই ভালোবাসবো ",প্রমিত
"দেখো ,কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো ",প্রমিত
"ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন, তুমি আসলে দুজন মিলে সাজাবো জীবন ",প্রমিত
পড়াশোনা করে  কি হবে যদি তোমাকেই  না পাওয়া যায়,প্রমিত
মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়,প্রমিত
ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,প্রমিত
"প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক, বিয়ে করার আরেকটা দিন এগিয়েছে",প্রমিত
"বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই, মেয়ে পক্ষ তাতেই রাজি হয়ে গেল",প্রমিত
বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর,প্রমিত
মিষ্টি হেসে কথা বলে পাগল করে দিলে,প্রমিত
তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে,প্রমিত
চলোনা কিছু না মেনে ভালোবাসি,প্রমিত
চলো দুজনে মিলে সুখের  পৃথিবী সাজাই,প্রমিত
তোমাকে নিয়ে আমার সব কল্পনা,প্রমিত
তোমায় হৃদয়ে রাখবো  সারাক্ষণ,প্রমিত
তুমি যদি চাও বৃষ্টি হবে আজ,প্রমিত
চল দুজনে হাত ধরে হারাবো,প্রমিত
তোমাকে ছুয়ে দিতে চাই অনুমতি,প্রমিত
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,প্রমিত
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়",প্রমিত
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,প্রমিত
"যতবার দেখি ততবার ভালো লাগে, মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে",প্রমিত
এখনো ভালো লাগে গানটা,প্রমিত
কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে,প্রমিত
মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা,প্রমিত
গানটা শুনলেই পুরাতন ইতিহাস মনে পড়ে,প্রমিত
এই ছবির  সব গানগুলো অনেক সুন্দর,প্রমিত
সব সময়ে গান গুলো বেশ সুন্দর ভালো লাগে শুনতে,প্রমিত
মৌসুমি আপুকে বলছি এরকম  একটা ছবি আমাদেরকে আবার উপরহার দিন,প্রমিত
"মৌসুমী আসলেই খুব সুন্দরী, আমি কাছ থেকে দেখেছি",প্রমিত
একদিন হয়তো পৃথিবীর মায়া কাটিয়ে চলে যাবো পরপারে,প্রমিত
"চোখ মেললেই দেখি তোমাকে, চোখ বুজলেই পাই আরো কাছে",প্রমিত
আরও  বেশি ভালবাসা আমি দিতে চাই,প্রমিত
এই  গান আমার এত প্রিয় এখনো শুনি অনেক সুন্দর একটা অনুভুতী কাজ করে,প্রমিত
"যৌবন আসার আগেই তাকে ভালো বেসেছিলাম, আবার যৌবন শেষ হবার পরেও তাকেই ভালো বাসবো",প্রমিত
সাত বছর পর খুজে পেয়েছি আমার প্রিয় গানটা,প্রমিত
জীবনে  অনেক  গান শুনি তারপরেও  কেন জানি না এই গান গুলোর মত এত ভালো লাগে না,প্রমিত
"যখন গানটা নতুন বের হয়েছিলো, তখন অনেক শুনেছি",প্রমিত
এই গানটা যে কতো বার যে শুনেছি তার কোনো হিসেব নেই,প্রমিত
ছোটবেলার স্মৃতিগুলো মনে পরে যায়,প্রমিত
মাত্র এক বছর পর গানটার বয়স এক যুগ হবে যাবে,প্রমিত
ভবিষ্যতে আমার ছেলে মেয়ে যখন এসব গান দেখবে তার বাবা কতটা রোমান্টিক ছিল,প্রমিত
এই গানটা কতবার শুনিছি আমি নিজেই জানি না,প্রমিত
এভাবে চলে যাবে সময় কিন্তু থেকে যাবে এসব কিছু গান,প্রমিত
তাদেরকে অনেক ধন্যবাদ যারা গান গুলো উপহার দিয়ে গেছেন,প্রমিত
রুমি ভাইয়া আবার ফিরে আসো সবার মাঝে নতুন গান নিয়ে।,প্রমিত
পুরনো দিনের কথা মনে পড়ে গেল,প্রমিত
"হারিয়ে গেছে কতকিছু,  কত আপনজন",প্রমিত
শুধু গানটি যেমন ছিলো তেমনেই রয়ে গেছে,প্রমিত
এই গান গুলো নিয়ে অনেক আবেগ আছে,প্রমিত
এ গান টা শুনে চোখে পানি চলে আসলো,প্রমিত
এসব গান ছোটবেলা থেকে শুনে বড় হয়েছি,প্রমিত
এই গানটা শুনে মনে হল আমি বাংলাদেশ থেকে ঘুরে এলাম,প্রমিত
এই ছবিটা দেখলে বোঝা যায় আমাদের দেশের জন্য কতো কষ্ট করেছে মুক্তিযোদ্ধা ভাইয়েরা,প্রমিত
আমরা জীবনে ভুলতে পারব না,প্রমিত
যতদিন পৃথিবীর বুকে বাংলাদেশ নামটি থাকবে ততদিন পর্যন্ত এই গানটি চলতে থাকবে,প্রমিত
মুক্তিযুদ্ধের ভাইয়েরা আমাদের জন্য কত কষ্ট করেছে,প্রমিত
গানটি শুনে আমার অনেক ভালো লেগেছে,প্রমিত
গানটা শুনে  চোখে পানি চলে আসলো সত্যি খুব ভালো লাগলো,প্রমিত
ভারতীয় হয়েও যেন কোথাও আমি বাংলাদেশি অনুভব করছি,প্রমিত
আজকের এই দিনে বাংলাদেশকে খুব মনে পড়ে,প্রমিত
সেই ছোটবেলার কথা মনে পড়ে যায় যতবার গানটা শুনি অতীতে ফিরে যাই,প্রমিত
এই ছোট ছেলেটি একটি বল  দিয়ে খেলছে,প্রমিত
লোকটি ফোনে কথা বলছে,প্রমিত
বাইরে বেশ কিছু মানুষ ঘুরে বেড়াচ্ছে,প্রমিত
রাতে একদল লোক একসাথে বাইরে বসে থাকে,প্রমিত
তুমিহীন সময়টা  নিজেদের মতো করে গুছিয়ে নেওয়ার চেষ্টা করছি,প্রমিত
আজ তোমার কন্যাকে নিয়ে সারা বই মেলা ঘুরেছি কিন্তু কোনো আনন্দ পায়নি,প্রমিত
তোমার পছন্দের বেশ কয়েকটি  বই কিনেছি,প্রমিত
সব কিছু কেমন শান্ত আর ফাঁকা লেগেছে,প্রমিত
আমি জানি আমাদের আর কোন দিন এপারে একসাথে বই পড়া হবেনা,প্রমিত
তুমি নেই এই কঠিন সত্যিটা আমি আজও বিশ্বাস করতে পারছি না,প্রমিত
কেনো জানি মনে হয় বেলা শেষে তুমি ঘরে ফিরবে,প্রমিত
আমি এক সন্ধ্যায়  অফিস থেকে বাসায় ফিরে দেখবো তুমি আছো সত্যিই তুমি আছো,প্রমিত
তুমি তোমার কন্যাকে নিয়ে ব্যস্ত সময় পার করছ,প্রমিত
আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে,প্রমিত
দম বন্ধ হয়ে আসে চিৎকার করে কাঁদতে ইচ্ছে করে,প্রমিত
তুমি জানো সত্যিই খুব কঠিন বাবা হয়ে মায়ের দায়িত্ব পালন করা,প্রমিত
সন্তানকে একমাত্র তার মায়ের কোলেই মানায়,প্রমিত
তোমার কন্যা আমার কোলে এসে শুধু তোমাকে খোঁজে মনে হয়,প্রমিত
তুমি চলে যাওয়ার পর তোমার মেয়ে কেমন যেন শান্ত হয়ে গেছে,প্রমিত
এটা হয়তো কেউ বুঝতে পারছে না আমি ছাড়া,প্রমিত
আমি যে বাবা আমি আমার কন্যার মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি,প্রমিত
এই রকম মানুষেরা কখনো ঠিক হয় না,প্রমিত
তাদের দুজনের বিয়ে হওয়ার কথা ছিল,প্রমিত
কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়,প্রমিত
এর মাঝে মেয়েটি  তার পরিবারের পছন্দে বিয়ে করে,প্রমিত
সে মেয়েটির  সাথে যোগাযোগ করে,প্রমিত
